#Power Supply, Option 2, 10V
#Voltage (V), Voltage uncertainty, Current (A), Current uncertainty
10.01, 0.025025, 0.000006, 0.000001	
9.98, 0.02495, 0.000159, 0.000001	
9.93, 0.024825, 0.000569, 0.0000042675
9.85, 0.024625, 0.001341, 0.00000100575
9.94, 0.02485, 0.00411, 0.000030825
9.81, 0.024525, 0.01455, 0.000109125
9.89, 0.024725, 0.0339, 0.00025425
9.89, 0.024725, 0.0349, 0.00026175
