#Power Supply, Option 1, 20V
#Voltage (V), Voltage uncertainty, Current (A), Current uncertainty
19.71, 0.049275, 0.000011, 0.000001	
19.68, 0.0492, 0.000312, 0.00000234
19.67, 0.049175, 0.001119, 0.0000083925
19.66, 0.04915, 0.00268, 0.0000201
19.64, 0.0491, 0.00813, 0.000060975
19.6, 0.049, 0.0289, 0.00021675
19.56, 0.0489, 0.0668, 0.000501
19.57, 0.048925, 0.0516, 0.000387
