#Power Supply, Option 2, 15V
#Voltage (V), Voltage uncertainty, Current (A), Current uncertainty
14.97, 0.037425, 0.00001, 0.00001	
14.93, 0.037325, 0.000238, 0.000001785
14.88, 0.0372, 0.000853, 0.0000063975
14.76, 0.0369, 0.00203, 0.000015225
14.88, 0.0372, 0.00617, 0.000046275
14.88, 0.0372, 0.022, 0.001	
14.81, 0.037025, 0.0508, 0.000381
14.84, 0.0371, 0.0442, 0.0003315
