#Power Supply, Option 1, 15V
#Voltage (V), Voltage uncertainty, Current (A), Current uncertainty
14.92, 0.0373, 0.000008, 0.000001	
14.91, 0.037275, 0.000236, 0.00000177
14.91, 0.037275, 0.000849, 0.0000063675
14.93, 0.037325, 0.00203, 0.000015225
14.91, 0.037275, 0.00616, 0.0000462
14.89, 0.037225, 0.022, 0.001	
14.85, 0.037125, 0.0507, 0.00038025
14.86, 0.03715, 0.0441, 0.001	
