#Power Supply, Option 1, 10V
#Voltage (V), Voltage uncertainty, Current (A), Current uncertainty
9.97, 0.024925, 0.000005, 0.000001	
9.96, 0.0249, 0.000157, 0.0000011775
9.96, 0.0249, 0.000566, 0.000004245
9.96, 0.0249, 0.001336, 0.00001002
9.95, 0.024875, 0.0041, 0.0001	
9.93, 0.024825, 0.01451, 0.000108825
9.91, 0.024775, 0.0338, 0.0002535
9.9, 0.02475, 0.0351, 0.00026325
