#Battery, Option 1
#Voltage (V), Voltage uncertainty, Current (A), Current uncertainty
6.54, 0.01635, 0.000003, 0.000001
6.54, 0.01635, 0.000103, 0.000001
6.54, 0.01635, 0.000372, 0.00000279
6.55, 0.016375, 0.000877, 0.0000065775
6.55, 0.016375, 0.00269, 0.000020175
6.54, 0.01635, 0.00955, 0.0001
6.54, 0.01635, 0.0223, 0.00016725
6.53, 0.016325, 0.0277, 0.00020775
