#Power Supply, Option 1, 6.5V
#Voltage (V), Voltage uncertainty, Current (A), Current uncertainty
6.52, 0.0163, 0.000004, 0.000001	
6.49, 0.016225, 0.000102, 0.000001	
6.49, 0.016225, 0.000369, 0.0000027675
6.49, 0.016225, 0.00087, 0.00001	
6.48, 0.0162, 0.00267, 0.000020025
6.47, 0.016175, 0.00945, 0.000070875
6.46, 0.01615, 0.0221, 0.00016575
6.45, 0.016125, 0.0277, 0.00020775
