#Power Supply, Option 2, 20V
#Voltage (V), Voltage uncertainty, Current (A), Current uncertainty
19.89, 0.049725, 0.000013, 0.000001	
19.82, 0.04955, 0.000316, 0.00000237
19.74, 0.04935, 0.001132, 0.00000849
19.81, 0.049525, 0.0027, 0.0001	
19.75, 0.049375, 0.0082, 0.0001	
19.76, 0.0494, 0.0292, 0.000219
19.65, 0.049125, 0.0673, 0.00050475
19.69, 0.049225, 0.0517, 0.00038775
