#Battery, Option 2
#Voltage (V), Voltage uncertainty, Current (A), Current uncertainty
6.53, 0.016325, 0.000004, 0.000001	
6.53, 0.016325, 0.000103, 0.000001	
6.5, 0.01625, 0.00037, 0.00001	
6.45, 0.016125, 0.000877, 0.0000065775
6.51, 0.016275, 0.00269, 0.000020175
6.44, 0.0161, 0.00954, 0.00007155
6.5, 0.01625, 0.0223, 0.00016725
6.49, 0.016225, 0.0277, 0.00020775
